mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
58,2,9,2,0,82,0,0,42,27,17,9,5,11,20,10,12,11,4,20,8,56,2,11,3,0,75,1,0,40,23,17,10,5,4,21,18,17,13,9,20,5
 , , ,3,78,110,0,1,43,23,13,19,10,8,20,18,16,13,10,22,10,36,2,13,3,11.4,110,1,0,38,18,21,9,5,3,10,16,14,10,10,23,10
37,2,12,2,0,65,1,0,30,24,23, ,5,15,14,16,16,15,5,18,2,33,2,13,3,0,65,0,0,39,28,17,7,5,19,11,14,14,14,5,13,4
 , , , , , , , , , , , , , , , , , , , ,0,38,3,13,3,57.6,93,1,1,31,23, , ,0,8,14,16,15,14,10,27,4
64,2,12,3,0,103,3,0,40,23,21,21,5,19,18,19,16,12,5,23,3,52,2,12,3,54,104,8,0,45,34,26,7,5,27,17,20,17,12,7,21,2
47,2,12,3,59.136,96,10,0,38,22,28,7,5,11,17,15,13,12,8,21,8,44,2,8,1,28.224,96,1,1,38,26,20,9,5,6,18,14,11,12,6,15,7
35,2,9,2,36.288,115,3,1,21,18,17,17,9,8,11,17,14,12,11,30,10,29,2,9,2,0,115,5,1,28,23,23,11,10,9,15,16,14,10,11,30,10
37,2,12,2,72,97,1,0,40,28,13,14,8,4,2,15,12,11,6,20,6,35,2,13,3,36,70,0,1,25,24,6,23,9,10,6,16,14,11,7,21,7
39,2,17,4,57.6,86,2,0,30,19,11,21,6,19,10,13,13,10,11,24,9,35,2,11,3,38.4,78,0,0,39,24,19,11,6,17,16,19,18,15,10,26,11
 , , , , , , , , , , , , , , , , , , , ,0,49,4,12,3,54,100,11,3,25,13, , ,0,6, ,20,20,14,10,24,9
35,2,12,2,72,130,0,0,30,23,24,13,7,6,18,13,14,12,5,25,8,34,2,14,3,62.892,130,0,0,39,27,18,18,9,3,16,18,16,12,8,28,5
 , , , , , , , , , , , , , , , , , , , ,0,50,1,14,3,72,72,5,3,36,22, , ,0,25,7,12,15,10,6,18,8
 , , , , , , , , , , , , , , , , , , , ,0,84,4,5,1,0,36,19,0,29,19, , ,0,3, ,11,10,9,6,22,7
52,2,13,3,54,120,0,0,42,28,15,9,5,10,11,9,12,10,7,23,5,48,2,14,3,72,120,0,1,40,33,23,14,5,0,13,14,13,9, ,22,8
