mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
57,2,9,1,84,130,3,2,40,20,12,19,5,0,12,15,15,13,6,21,3,54,2,12,3,72,135,1,0,30,17,13,19,6,7,6,16,14,12,6,24,4
35,2,9,5,75.6,200,2,3,32,27,19,14,7,22,15,16,17,14,8,24,6,35,2,18,5,132,200,1,1,39,24,20,7,5,21,12,15,14,12,5,12,0
37,2,12,2,54,95,0,0,39,28,15,18,5,6,19,15,16,12,8,26,8,31,2,13,3,48,80,6,3,43,24,19,12,1,8,13,13,15,12,8,24,9
 , , , , , , , , , , , , , , , , , , , ,0,49, ,12,3,57.6,96,5,4,24,19, , ,0,18, ,7, ,5,9,23,7
36,3,14,4,66,73,6,0,44,30, , ,0,17, ,18,18,15,11,27,9, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,38,5,17,5,81.6,101,1,0,37,25,22,9,5,19, ,18,20,14,11,23,8
54,2,11,2,72,150,5,3,38,26,20,13,5,12,18,13,14,11,9,19,8,50,2,8,1,54,150,5,0,37,26,22,13,6,18,19,13,14,11,10,20,8
34,2,15,3,84,0,1,0,41,28,18,11,5,9,10,17,15,16,8,28,3,34,2,13,3,51.6,112,2,1,34,22,14,14,7,6,11,13,17,10,7,26,5
48,2,13,3,78,180,0,1,41,23,18,10,5,12,13,13,15,11,7,22,3,47,2,14,3,69.6,180,3,0,36,16,19, ,5,7,15,14,16,12,6,20,3
33,2,12,2,72,128,0,2,29,28,22,13,5,9,11,14,13,12,10,25,6,31,2,12,3,33.6,128,1,4,32,25,22,11,6,19,11,16,13,13,11,24,8
59,2,15,3,96,110,0,0,38,27,20,12,5,22,19,20,20,15,6,22,4,55,2,12,3, ,112,1,0,37,26,22,13,5,25,21, , ,14,7,24,2
34,2,12,2,60,170,4,4,24,17,14,24,6,2,11,12,14,10,8,24,5,35,2,17,5,108,170,4,0,41,26,9,16,7,10,12,16,16,12,7,19,4
34,2,12,2,50.004,65,6,4,33,19,23,25,5,12,14,17,15,11,9,27,3,30,2,12,3,16.5,65,2,0,32,22,14,19,5,11,15,14,11,10,11,26,6
47,2,12,2,0,73,4,4,39,24, ,17,5,6,2,10,12,7,12,27,11,43,2,13,3,34.8,107,11,4,34,25,21,13,5,15,11,13,12,11,13,27,12
40,2,12,2,59.004,120,4,0,39,25,20,10,5,10,13,17,18,13,7,27,6,38,2,12,2,57.6,122,1,0,36,26,15,11,5,9,14,18,18,14,7,21,6
50,2,11,2,57.6,75,11,4,31,21,17,19,5,1,12,9,11,9,9,30,14,47,2,11,3,58.8,70,7,4,35,23,20,16,5,21,18,17,19,14,13,30,9
46,2,14,4,57.6,100,1,0,35,17,23,8,5,19,19,17,16,14,8,19,6,44,2,12,4,66,180,1,0,33,26,25,8,5,10,19,15,15,13,5,16,0
 , , , , , , , , , , , , , , , , , , , ,0,81,4,11,3,0,27,14,3,35,23, , ,0,11, ,16,12,7,6,20,4
32,2,17,3,48,105,5,2,39,27,22,19,11,5,11,14,16,11,11,15,5,29,2,12,4,48,100,2,0,33,22,10,23,12,21,10,12,15,10,10,20,4
41,2,15,4,48,102,0,0,44,27,13,8,5,21,7,10,15,11,6,11,5,47,2,13,3,54,102,1,0,38,29,15,6,5,19,15,16,16,13,6,16,9
38,2,12,2,96,170,1,2,37,22,20,12,5,9,12,11,13, ,6,14,2,36,2,15,4,60,170,2,0,35,26,22,12,6,23,11,16,17,11,5,14,2
22,2,12,3,84,120,0,0,43,30,15,13,6,13,17,17,18,15,8,19,3,24,2,12,3,42,110,2,2,31,26,23,8,5,26,15,18,16,14,8,25,7
25,2,12,2,84,89,0,0,24,25,17,17,9,10,12,14,15,13,11,24,12,24,2,12,3,19.8,90,0,0,29,12,14,18,15,16,13,14,16,13,11,24,12
29,2,13,3,60,110,1,0,35,25,15,12,6,14,17,15,15,12,10,24,17,28,2,12,3,48,110,0,0,31,24,16,12,6,11,16,14,15,12,10,23,17
53,2, ,2,42,50,1,0,33,27,21,11,5,3,15,14,15,10,7,22,2,51,2,11,2,18,50,2,0,35,27,22,12,0,0, , , , ,7,22,6
62,2,12,3,0,74,11,3,31,19,23,13,0,8,18,15,11,11,6,27,8,49,2,8,1,0,74,12,4,32,21,25,8,0,12,20,14,12, ,6,24,12
 , , , , , , , , , , , , , , , , , , , ,0,61,4,9,1,19.2,61,4,4,32,21, , ,0,16, ,16,15,13,8,21,11
 , , , , , , , , , , , , , , , , , , , ,0,56,4,11,3,19.2,70,2,0,40,28, , ,0,22, ,17,16,14,7,16,0
 , , , , , , , , , , , , , , , , , , , ,0,30,1,13,3,0,44,1,1,35,27, , ,0,14,12,19,17,14,14,27,18
54,2,15,3,48,145,3,0,34,26,23,14,5,22,15,12,14,10,5,18,0,53,2,9,2,68.4,150,5,0,35,21,17,15,5,6,11,12,14,10,11,30,9
28,2,14,3,102,91,0,0,39,29,14,19,7,1,8,15,15,12,10,25,1,27,2,13,3,46.8,134,0,0,34,23,13,16,8,2,12,17,15,13,10,28,2
33,5,13,3,55.44,126,0,0,46,32,22,11,5,23,10,14,17,14,9,26,7,43,5,15,4,84,126,1,0,40,32,23,7,5,24,7,16,17,12,9,26,6
62,2,12,3,0,104,6,4,34,24,19,11,5,16,12,18,14,14,8,18,0,52,2,11,3,68.4,105,1,1,26, ,14,14,5,16,12,13,12,9,5,18,1
46,2,12,2,60.48,0,1,0,40,27, ,9,5,2,10,15,13,12,11,24,2,42,2,13,3,66,0,8,4,30,21,17,13,6,20,11,12,14,14,9,29,9
 , , , , , , , , , , , , , , , , , , , ,0,40,3,13,3,60,87,1,0,28,19, , ,0,24,17,19,17,16,13,30,10
50,2,11,2,33.6,70,4,4,23,18,18,10,5,7,12,11,11,7,13,30,16,51,2,15,4,48,70,12,2,36,20,20,7,5,14,12,10,8,7,12,28,14
31,2,9,3,60,92,1,2,34,20,19,12,6,0,20,13,12,12,8,22,8,28,2,9,3,0,92,0,0,32,25,18,14,8,12,19,15,15,13,8,22,6
63,2,9,1,12.24,66,6,1,29,21,16,16,5,6,15,18,18,15,11,25,7,55,2,8,1, ,66,8,1,30,21,20,16,5,14,15,18,19,14,10,24,7
35,2,11,2,48,60,0,1,34,25,21,18,6,10,11,16,16,11,6,20,9,30,2,13,3,54,60,0,1,34,25,16,13,5,20,13,19,16,13,6,25,8
35,2,12,2,32.256,102,1,0,31,27,18,9,5,11,20,18,16,13,8,22,5,30,2,14,3,0,106,0,0,38,26,21,11,5,9,20,15,15,12,8,21,6
22,2,12,3,60,78,0,0,32,22,12,19,5,0,17,13,11,9,9,23,10,21,2,14,4,0,78,0,0,35,23,16,15,7,14,15,17,15,14,10,21,13
42,2,12,2,72,88,1,0,36,29,23,11,5,8,12,17,17,12,6,24,7,36,2,12,2,18,88,1,0,33,28,20,11,5,9,13,18,17,12,7,22,7
46,2,12,4,56.004,120,2,0,39,27,20,12,5,17,12,16,16,13,7,17,3,41,2,11,1,31.2,120,3,4,32,21,11,13,5,13,12,15,14,13,7,20,3
38,2,12,2,0,68,4,4,34,26,20,8,5,0,2,12,15,13,9,26,7,35,2,17,3,0,68,2,1,36,25,19,15,6,6,11,13,14,12,11,24,8
44,2,14,3,56.448,135,0,0,37,28,15,15,5,16,2,9, ,6,7,23,3,42,2,14,3,42,98,1,0,37,27,22,9,0,14,10,17,13,12,7,24,2
45,2,9,2,96,80,0,0,32,18,12,12,5,7,21,18,16,13,7,24,6,46,2,12,4,84,156,3,0,35,26,12, ,5,22,15,14,17,14,6,23,6
 , , , , , , , , , , , , , , , , , , , ,0,37,3,11,3,66,68,1,1,33,21, , ,0,17, ,13,12,14,5,18,7
41,2,14,3,97.2,126,0,0,36,26,20,7,5,11,9,17,14,13,7,20,1,39,2,9,1,43.2,126,2,0,36,26,20,7,5,6,11,17,15,13,7,19,1
 , , , , , , , , , , , , , , , , , , , ,0,27,4,13,3,40.8,60,0,0,30,26, , ,0,27, ,20,18,12,7,30,8
 , , , , , , , , , , , , , , , , , , , ,0,51,3,8,1,73.44,80,1,4,36,29, , ,0,19, ,15,10,9,9,30,7
39,2,9,1,54,80,1,1,28,21, , ,0,3,15,17,14,12,6,20,2,24,2,14,3,0,80,2,0,39,22, , ,0,15,13,15,14,14,6,19,0
47,2,12,2,70.56,100,7,1,30,17,9,23,8,12,7,10,6,5,7,24,9,45,2,11,2,72,132,4,0,30,21,8,24,9,17,11,20,18,16,9,26,9
48,2,11,2,108,98,3,0,41,27,24,12,5,12,15,16,16,13,13,27,10,47,2,12,3,15,98,5,4,37,23,27,9,5,15,18,15,15,13,12,27,13
68,2,8,2, ,65,9,4,34,20,28,11,5,14,17,18,17,15,12, ,8,68,2,9,1,0,65,13,4,37,20,26,7,5,8,17,18,20,15,12, ,8
43,2,18,5,120,240,0,0,39,29,6,17,5,16,10,12,17,15,4,17,2,43,2,13,3,0,240,0,2,28,28,12,11,8,13,9,9,10, ,5,15,2
50,2,15,3,64.74,115,1,1,38,27,17,11,5,18,14,15,17,13,10,25,9,45,2,17,3,50.4,115,1,1,28,20,20,13,5,11,12,8,11,9,10,26,10
41,2,9,2,60,115,1,2,37,27,19,11,5,12,12,16,17,14,8,24,5,29,2,13,4,57.6,115,5,1,38,28,13,17,5,14,9,17,17,16,9,26,5
41,2,18,5,120,500,1,0,46,35,28,7,5,38,12,20,20,15,5,15,0,42,2,17,5,.374,120,0,0,50,35,20,6,5,18,12,18,17,12,4,19,1
 , , , , , , , , , , , , , , , , , , , ,0,44,2,12,4,66,0,13,4,35,28,23,9,5,10,16,17,15,13,7,24,5
68,4,9,2,0,0,3,0,38,27, , ,0,9, ,16,17,12,7,23,4, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,36,3,9,1,36,40,5,2,24,19, , ,0,10,12,20,15,15,4,26,7
33,2,12,2,72,95,0,0,46,28,23,12,6,8,19,20, ,12, ,21,10,30,2,12,4,0,90,0,1,36,25,13,13,6,8,21,20,19,14,11,21,13
36,2,11,2,51.84,100,3,2,32,23,19,15,7,14,11,10,14,12,12,26,13,37,2,18,5,66,120,16,4,33,32,19,12,6,19,12,11,13,12,13,27,12
31,2,18,5,54,100,1,0,40,26,25,7,5,11,11,14,14,12,6,26,4,27,2,18,5,43.2,90,1,0,28,19,20,10,5,11,8,10,10,10,10,26,7
30,2,12,2,57.6,140,2,0,38,26,17,14,5,14,13,15,13,11,10,21,9,29,2,12,4,0,140,0,0,32,24,17,17,6,21,13,16,18,14,9,20,6
 , , , , , , , , , , , , , , , , , , , ,0,63,4,8,1,0,44,0,0,39,28, , ,0,21, ,9,13,12,6,27,12
54,2,13,3, ,142,1,0,39,26,19,7,5,19,15,18,16,13,7,23,4,50,2,10,3,49.2,142,3,0,37,25,21,7,5,24,15,18,17,13,7,23,4
47,2,12,2,72,105,1,3,47,31,21,13,5,9,17,16,19,14,10,25,10,46,2,13,3,46.8,105,2,3,41,27,20,13,5,9,13,17,19,15,10,21,9
41,2,12,2,66,120,0,0,32,26,14,18,6,6,15,13,14,12,7,23,4,39,2,13,3,60,125,2,0,29,24,21,11,5,7,12,13,11,12,8,25,4
54,2,8,2,0,90,2,0,31,23,11,14,5,17,18,12,13,11,6,22,8,53,2,12,3,57.6,90,6,3,33,18,18,12,5,15,11,14,13,9,6,22,8
 , , , , , , , , , , , , , , , , , , , ,0,46,3,13,3,66,55,2,3,38,23, , ,0,21, ,14,12,10,10,24,4
36,2,18,5,19.2,140,1,0,33,25,14,6,5,16,2,14,12,11,5,21,6,35,2,17,5,78,140,2,1,39,26,20,8,5,23,10,15,13,13,5,21,5
42,2,18,5,90,170,3,1,38,27,19,19,7,33,2,14,17,12,9,17,4,40,2,18,5,60,170,5,3,36,25,16,12,5,11,2,9,6,7,7,24,1
35,2,17,3,54.432,90,4,2,38,29,24,15,5,16,19,19,14,12,12,27,13,32,2,15,3,52.992,90,2,2,41,29,22,15,5,15,15,19,17,12,10,27,12
54,2,8,1,60.48,94,3,4,36,23,27,11,5,6,19,20,20,16,7,30,6,46,2,9,1,33.6,94,4,4,38,24,27,11,5,12,19,20,20,16,7,30,6
